cnty_fips,display_name,Value,theme_range,dm_prev_adj,ob_prev_adj,ltpia_prev_adj
01001,"""Autauga, (AL)""",568,552.5 - 1132.8 (643),11.4,36.3,30.3
01003,"""Baldwin, (AL)""",489,481.6 - 552.4 (641),9.3,29.4,23.5
01005,"""Barbour, (AL)""",598.6,552.5 - 1132.8 (643),16.5,44.5,29.9
01007,"""Bibb, (AL)""",597.8,552.5 - 1132.8 (643),13.5,38.5,36.7
01009,"""Blount, (AL)""",511.4,481.6 - 552.4 (641),12.5,36.1,28
01011,"""Bullock, (AL)""",562,552.5 - 1132.8 (643),18,40.1,29.3
01013,"""Butler, (AL)""",647.2,552.5 - 1132.8 (643),15.1,36.2,32.8
01015,"""Calhoun, (AL)""",686.9,552.5 - 1132.8 (643),14.6,36.3,31.7
01017,"""Chambers, (AL)""",531.8,481.6 - 552.4 (641),13.8,38.3,31.4
01019,"""Cherokee, (AL)""",621.4,552.5 - 1132.8 (643),10.3,36,34.2
01021,"""Chilton, (AL)""",673.1,552.5 - 1132.8 (643),12.7,36.2,29.1
01023,"""Choctaw, (AL)""",652.3,552.5 - 1132.8 (643),13.4,39.8,31.7
01025,"""Clarke, (AL)""",560.2,552.5 - 1132.8 (643),14.3,38.6,28.4
01027,"""Clay, (AL)""",650.7,552.5 - 1132.8 (643),11.9,38.7,30.1
01029,"""Cleburne, (AL)""",630.1,552.5 - 1132.8 (643),10.7,35.1,30.9
01031,"""Coffee, (AL)""",553.9,552.5 - 1132.8 (643),13.9,34.3,28.9
01033,"""Colbert, (AL)""",670,552.5 - 1132.8 (643),14.8,34.9,29.8
01035,"""Conecuh, (AL)""",632.3,552.5 - 1132.8 (643),14.9,38.7,29.7
01037,"""Coosa, (AL)""",530.4,481.6 - 552.4 (641),12.8,40.4,28.2
01039,"""Covington, (AL)""",645.4,552.5 - 1132.8 (643),11.7,34.2,29.5
01041,"""Crenshaw, (AL)""",593.3,552.5 - 1132.8 (643),12.8,40.1,28.7
01043,"""Cullman, (AL)""",592.3,552.5 - 1132.8 (643),14.2,34.9,28.3
01045,"""Dale, (AL)""",574.7,552.5 - 1132.8 (643),13.1,36.7,28.2
01047,"""Dallas, (AL)""",722.5,552.5 - 1132.8 (643),15.4,42.6,28.9
01049,"""DeKalb, (AL)""",666.5,552.5 - 1132.8 (643),10.8,30.6,30.8
01051,"""Elmore, (AL)""",577.5,552.5 - 1132.8 (643),12.3,36.5,29
01053,"""Escambia, (AL)""",612.6,552.5 - 1132.8 (643),16.8,38.8,31.1
01055,"""Etowah, (AL)""",670.9,552.5 - 1132.8 (643),13.5,37.2,33.1
01057,"""Fayette, (AL)""",601,552.5 - 1132.8 (643),11.9,35.9,35
01059,"""Franklin, (AL)""",686,552.5 - 1132.8 (643),12.3,33.3,36.9
01061,"""Geneva, (AL)""",613.4,552.5 - 1132.8 (643),13.3,37.2,28
01063,"""Greene, (AL)""",602.9,552.5 - 1132.8 (643),17.7,42.4,30.3
01065,"""Hale, (AL)""",595.8,552.5 - 1132.8 (643),14.5,41.3,32.2
01067,"""Henry, (AL)""",569.2,552.5 - 1132.8 (643),15.6,38.3,29.4
01069,"""Houston, (AL)""",565.3,552.5 - 1132.8 (643),12.1,33.3,28.5
01071,"""Jackson, (AL)""",648.1,552.5 - 1132.8 (643),12,37.5,30.2
01073,"""Jefferson, (AL)""",526.2,481.6 - 552.4 (641),11.9,33,27.9
01075,"""Lamar, (AL)""",628,552.5 - 1132.8 (643),11.9,34.3,32.3
01077,"""Lauderdale, (AL)""",528.1,481.6 - 552.4 (641),12.3,35.1,29.5
01079,"""Lawrence, (AL)""",652.6,552.5 - 1132.8 (643),12,33.5,35.5
01081,"""Lee, (AL)""",504.1,481.6 - 552.4 (641),10.8,29.9,25
01083,"""Limestone, (AL)""",558.6,552.5 - 1132.8 (643),11.3,33.4,29.6
01085,"""Lowndes, (AL)""",666.6,552.5 - 1132.8 (643),17.6,46.5,29.6
01087,"""Macon, (AL)""",636.8,552.5 - 1132.8 (643),17.7,48,31.7
01089,"""Madison, (AL)""",489.3,481.6 - 552.4 (641),11.3,32.6,22.3
01091,"""Marengo, (AL)""",673.8,552.5 - 1132.8 (643),16,39.7,32.4
01093,"""Marion, (AL)""",665.8,552.5 - 1132.8 (643),14.7,35.5,31.8
01095,"""Marshall, (AL)""",656.6,552.5 - 1132.8 (643),11.4,33.9,29.6
