cnty_fips,display_name,Value,theme_range,dm_prev_adj,ob_prev_adj,ltpia_prev_adj
05071,"""Johnson, (AR)""",617.9,604.6 - 949.9 (643),11.5,37.9,31.3
05073,"""Lafayette, (AR)""",603,529.4 - 604.5 (642),12.6,38.8,38.8
05075,"""Lawrence, (AR)""",647.1,604.6 - 949.9 (643),12.5,32.7,38.8
05077,"""Lee, (AR)""",645.4,604.6 - 949.9 (643),12.6,39.3,35
05079,"""Lincoln, (AR)""",658.8,604.6 - 949.9 (643),11.8,36.4,34.7
05081,"""Little River, (AR)""",695.1,604.6 - 949.9 (643),11.5,38.1,34.7
05083,"""Logan, (AR)""",654.4,604.6 - 949.9 (643),12.6,39.9,32.6
05085,"""Lonoke, (AR)""",567.2,529.4 - 604.5 (642),13.1,38,31.3
05087,"""Madison, (AR)""",525.3,477.2 - 529.3 (644),10.8,34.8,33.6
05089,"""Marion, (AR)""",502.5,477.2 - 529.3 (644),10.7,33.9,30.3
05091,"""Miller, (AR)""",591,529.4 - 604.5 (642),10.4,33.8,36.8
05093,"""Mississippi, (AR)""",740.2,604.6 - 949.9 (643),15.2,41.6,38.8
05095,"""Monroe, (AR)""",701.6,604.6 - 949.9 (643),13.8,36.3,34.9
05097,"""Montgomery, (AR)""",597.3,529.4 - 604.5 (642),12.3,36.8,33.7
05099,"""Nevada, (AR)""",670.9,604.6 - 949.9 (643),11.8,36.1,30.9
05101,"""Newton, (AR)""",539.5,529.4 - 604.5 (642),10.4,32.3,29.9
05103,"""Ouachita, (AR)""",593.5,529.4 - 604.5 (642),12,36.7,31.7
05105,"""Perry, (AR)""",542.4,529.4 - 604.5 (642),11.3,36.7,30.3
05107,"""Phillips, (AR)""",793.6,604.6 - 949.9 (643),12.9,44.2,35.6
05109,"""Pike, (AR)""",606.1,604.6 - 949.9 (643),10.5,37,37.7
05111,"""Poinsett, (AR)""",803.1,604.6 - 949.9 (643),13.6,40.6,38.5
