"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj"
02016,"""Aleutians West, (AK)""",613.3,"571.5 - 639.6 (642)",8.6,40.4,25.7
02020,"""Anchorage, (AK)""",430.2,"177.2 - 457.1 (643)",7.7,27.9,17.9
02050,"""Bethel, (AK)""",512.9,"512.8 - 571.4 (643)",7.3,29.5,28.1
02060,"""Bristol Bay, (AK)""",-1,,8.4,38.7,24.2
02068,"""Denali, (AK)""",410.9,"177.2 - 457.1 (643)",6.2,26,16.5
02070,"""Dillingham, (AK)""",529.1,"512.8 - 571.4 (643)",9.2,40.5,23
02090,"""Fairbanks North Star, (AK)""",419.2,"177.2 - 457.1 (643)",6.6,29,19.3
02100,"""Haines, (AK)""",377.5,"177.2 - 457.1 (643)",6.9,24,18
02110,"""Juneau, (AK)""",377.5,"177.2 - 457.1 (643)",6,28.6,15
02122,"""Kenai Peninsula, (AK)""",440.6,"177.2 - 457.1 (643)",6.4,28.3,19.9
02130,"""Ketchikan Gateway, (AK)""",450.3,"177.2 - 457.1 (643)",8.6,34.3,20.9
02150,"""Kodiak Island, (AK)""",430.4,"177.2 - 457.1 (643)",7.3,29.6,20.7
02164,"""Lake and Peninsula, (AK)""",448.5,"177.2 - 457.1 (643)",7.5,31.8,24.2
02170,"""Matanuska-Susitna, (AK)""",505.5,"457.2 - 512.7 (644)",7.8,30.8,20.5
02180,"""Nome, (AK)""",464.9,"457.2 - 512.7 (644)",7.6,33.5,26.6
02185,"""North Slope, (AK)""",535.7,"512.8 - 571.4 (643)",8,36.9,29.3
02188,"""Northwest Arctic, (AK)""",478.1,"457.2 - 512.7 (644)",8.3,35.9,26.3
02201,"""Prince of Wales-Outer Ketchikan, (AK)""",-1,,-1,-1,-1
02220,"""Sitka, (AK)""",366.8,"177.2 - 457.1 (643)",6.5,28.1,17.4
02232,"""Skagway-Hoonah-Angoon, (AK)""",-1,,-1,-1,-1
02240,"""Southeast Fairbanks, (AK)""",489,"457.2 - 512.7 (644)",7.7,32.4,19.8
02261,"""Valdez-Cordova, (AK)""",461.8,"457.2 - 512.7 (644)",7.6,30.4,20
02270,"""Wade Hampton, (AK)""",527,"512.8 - 571.4 (643)",-1,-1,-1
02280,"""Wrangell-Petersburg, (AK)""",-1,,-1,-1,-1
02282,"""Yakutat, (AK)""",-1,,7.6,30.9,24.8
02290,"""Yukon-Koyukuk, (AK)""",456.5,"177.2 - 457.1 (643)",8.1,30.1,26.2
04001,"""Apache, (AZ)""",416,"177.2 - 457.1 (643)",12.9,33.6,23.2
04003,"""Cochise, (AZ)""",494.1,"457.2 - 512.7 (644)",8.5,26.8,20.3
04005,"""Coconino, (AZ)""",394.4,"177.2 - 457.1 (643)",7.7,22.7,16.3
04007,"""Gila, (AZ)""",467.5,"457.2 - 512.7 (644)",8.2,28.3,23.6
04009,"""Graham, (AZ)""",485,"457.2 - 512.7 (644)",10.6,32,26.2
04011,"""Greenlee, (AZ)""",496.3,"457.2 - 512.7 (644)",10.1,29.2,21.1
04012,"""La Paz, (AZ)""",499.5,"457.2 - 512.7 (644)",10.6,29.6,26.2
04013,"""Maricopa, (AZ)""",445.4,"177.2 - 457.1 (643)",8.5,26.3,18.7
04015,"""Mohave, (AZ)""",586.1,"571.5 - 639.6 (642)",9.5,31,28.3
04017,"""Navajo, (AZ)""",452.2,"177.2 - 457.1 (643)",11.4,31.5,25
04019,"""Pima, (AZ)""",439.2,"177.2 - 457.1 (643)",7.6,25,17.5
04021,"""Pinal, (AZ)""",451.6,"177.2 - 457.1 (643)",10.7,33.1,24.8
04023,"""Santa Cruz, (AZ)""",415.4,"177.2 - 457.1 (643)",7.7,23.3,18.2
04025,"""Yavapai, (AZ)""",444.3,"177.2 - 457.1 (643)",7.4,23.1,20.1
04027,"""Yuma, (AZ)""",431.8,"177.2 - 457.1 (643)",11.8,31.4,27.5
05001,"""Arkansas, (AR)""",751.7,"639.7 - 989.4 (643)",11,32,34.6
05003,"""Ashley, (AR)""",783.6,"639.7 - 989.4 (643)",12.8,42.9,39.2
05005,"""Baxter, (AR)""",529.5,"512.8 - 571.4 (643)",12.1,35.7,32.5
05007,"""Benton, (AR)""",510.6,"457.2 - 512.7 (644)",8.8,30.8,26
05009,"""Boone, (AR)""",594.8,"571.5 - 639.6 (642)",11.8,38.7,33
05011,"""Bradley, (AR)""",771.3,"639.7 - 989.4 (643)",11.7,42.5,36
05013,"""Calhoun, (AR)""",614.2,"571.5 - 639.6 (642)",12,37,31.8
05015,"""Carroll, (AR)""",540.9,"512.8 - 571.4 (643)",11.2,34.5,31.2
05017,"""Chicot, (AR)""",831.9,"639.7 - 989.4 (643)",12.4,44.2,31.9
05019,"""Clark, (AR)""",662.9,"639.7 - 989.4 (643)",10.4,34.6,34.9
05021,"""Clay, (AR)""",690.4,"639.7 - 989.4 (643)",11.2,35.8,33.6
05023,"""Cleburne, (AR)""",617.2,"571.5 - 639.6 (642)",9.8,34.9,42.1
05025,"""Cleveland, (AR)""",741.3,"639.7 - 989.4 (643)",11.6,35.7,31.7
05027,"""Columbia, (AR)""",660.3,"639.7 - 989.4 (643)",12.1,34.5,35.2
05029,"""Conway, (AR)""",617.8,"571.5 - 639.6 (642)",12.4,38.4,32.3
05031,"""Craighead, (AR)""",652.6,"639.7 - 989.4 (643)",12.7,35.6,33.3
05033,"""Crawford, (AR)""",699,"639.7 - 989.4 (643)",10.7,33.9,28.7
05035,"""Crittenden, (AR)""",733.8,"639.7 - 989.4 (643)",14.2,40.4,36.1
05037,"""Cross, (AR)""",712.4,"639.7 - 989.4 (643)",12.1,39.9,37.4
05039,"""Dallas, (AR)""",732.4,"639.7 - 989.4 (643)",12.4,39.3,34.9
05041,"""Desha, (AR)""",860.6,"639.7 - 989.4 (643)",13.4,39.5,33.8
05043,"""Drew, (AR)""",643,"639.7 - 989.4 (643)",12.6,37.1,33.7
05045,"""Faulkner, (AR)""",534.9,"512.8 - 571.4 (643)",11.7,33.1,31.5
05047,"""Franklin, (AR)""",606.6,"571.5 - 639.6 (642)",12.5,32.8,34.7
05049,"""Fulton, (AR)""",593.9,"571.5 - 639.6 (642)",12.4,31.6,29.3
05051,"""Garland, (AR)""",564.1,"512.8 - 571.4 (643)",10.7,31,32.7
05053,"""Grant, (AR)""",577.2,"571.5 - 639.6 (642)",11,39.4,32.9
05055,"""Greene, (AR)""",636.8,"571.5 - 639.6 (642)",13.5,33.3,36.2
05057,"""Hempstead, (AR)""",720.7,"639.7 - 989.4 (643)",11,38.7,36.8
05059,"""Hot Spring, (AR)""",607.1,"571.5 - 639.6 (642)",11.4,35.4,33.7
05061,"""Howard, (AR)""",710.2,"639.7 - 989.4 (643)",12.5,35.2,32.7
05063,"""Independence, (AR)""",639.6,"571.5 - 639.6 (642)",11.4,36.8,30.4
05065,"""Izard, (AR)""",531.8,"512.8 - 571.4 (643)",13.1,34.6,32.3
05067,"""Jackson, (AR)""",720.4,"639.7 - 989.4 (643)",11.2,34.5,37.3
05069,"""Jefferson, (AR)""",750.6,"639.7 - 989.4 (643)",15.4,42.2,32.8
05071,"""Johnson, (AR)""",598.5,"571.5 - 639.6 (642)",11.5,37.9,31.3
05073,"""Lafayette, (AR)""",612.2,"571.5 - 639.6 (642)",12.6,38.8,38.8
05075,"""Lawrence, (AR)""",647.2,"639.7 - 989.4 (643)",12.5,32.7,38.8
05077,"""Lee, (AR)""",699.1,"639.7 - 989.4 (643)",12.6,39.3,35
05079,"""Lincoln, (AR)""",714.2,"639.7 - 989.4 (643)",11.8,36.4,34.7
05081,"""Little River, (AR)""",706.6,"639.7 - 989.4 (643)",11.5,38.1,34.7
05083,"""Logan, (AR)""",615.1,"571.5 - 639.6 (642)",12.6,39.9,32.6
05085,"""Lonoke, (AR)""",592.7,"571.5 - 639.6 (642)",13.1,38,31.3
05087,"""Madison, (AR)""",613.3,"571.5 - 639.6 (642)",10.8,34.8,33.6
05089,"""Marion, (AR)""",521.1,"512.8 - 571.4 (643)",10.7,33.9,30.3
05091,"""Miller, (AR)""",547.3,"512.8 - 571.4 (643)",10.4,33.8,36.8
05093,"""Mississippi, (AR)""",906.1,"639.7 - 989.4 (643)",15.2,41.6,38.8
05095,"""Monroe, (AR)""",748.1,"639.7 - 989.4 (643)",13.8,36.3,34.9
05097,"""Montgomery, (AR)""",620.5,"571.5 - 639.6 (642)",12.3,36.8,33.7
05099,"""Nevada, (AR)""",687.1,"639.7 - 989.4 (643)",11.8,36.1,30.9
05101,"""Newton, (AR)""",554.3,"512.8 - 571.4 (643)",10.4,32.3,29.9
05103,"""Ouachita, (AR)""",693.6,"639.7 - 989.4 (643)",12,36.7,31.7
05105,"""Perry, (AR)""",604.1,"571.5 - 639.6 (642)",11.3,36.7,30.3
05107,"""Phillips, (AR)""",873.6,"639.7 - 989.4 (643)",12.9,44.2,35.6
05109,"""Pike, (AR)""",687.5,"639.7 - 989.4 (643)",10.5,37,37.7
05111,"""Poinsett, (AR)""",854.7,"639.7 - 989.4 (643)",13.6,40.6,38.5
05113,"""Polk, (AR)""",718.8,"639.7 - 989.4 (643)",11.4,34.6,37.5
05115,"""Pope, (AR)""",554,"512.8 - 571.4 (643)",10.9,32.3,31.6
05117,"""Prairie, (AR)""",593.1,"571.5 - 639.6 (642)",11.9,37.9,35.4
05119,"""Pulaski, (AR)""",542.5,"512.8 - 571.4 (643)",12.3,32.2,27.6
05121,"""Randolph, (AR)""",634.8,"571.5 - 639.6 (642)",12,35.8,38.6
05123,"""St. Francis, (AR)""",822.1,"639.7 - 989.4 (643)",15.5,44.6,38.9
05125,"""Saline, (AR)""",516.4,"512.8 - 571.4 (643)",12,33.1,31.8
05127,"""Scott, (AR)""",672.3,"639.7 - 989.4 (643)",10.9,33.8,33
05129,"""Searcy, (AR)""",542,"512.8 - 571.4 (643)",11.5,37.3,34.9
05131,"""Sebastian, (AR)""",598.3,"571.5 - 639.6 (642)",11.3,34.9,28.4
05133,"""Sevier, (AR)""",739.9,"639.7 - 989.4 (643)",10.9,36.9,32.9
05135,"""Sharp, (AR)""",632.7,"571.5 - 639.6 (642)",11.6,38.5,29.1
05137,"""Stone, (AR)""",553.8,"512.8 - 571.4 (643)",11.1,35.7,33.9
05139,"""Union, (AR)""",674.6,"639.7 - 989.4 (643)",11.6,39.1,33.4
05141,"""Van Buren, (AR)""",546.5,"512.8 - 571.4 (643)",9.5,34.9,32.1
05143,"""Washington, (AR)""",548.6,"512.8 - 571.4 (643)",10.3,29.9,26
05145,"""White, (AR)""",692.1,"639.7 - 989.4 (643)",9.6,38.4,31.4
05147,"""Woodruff, (AR)""",808.3,"639.7 - 989.4 (643)",11.8,37,31.4
05149,"""Yell, (AR)""",675.6,"639.7 - 989.4 (643)",11.4,37.1,33.6
06001,"""Alameda, (CA)""",475.7,"457.2 - 512.7 (644)",8,18.7,16.7
06003,"""Alpine, (CA)""",435.2,"177.2 - 457.1 (643)",7.7,22.1,17.9
06005,"""Amador, (CA)""",515.1,"512.8 - 571.4 (643)",6.7,24.9,16.8
06007,"""Butte, (CA)""",529.9,"512.8 - 571.4 (643)",8.3,25.4,19.4
06009,"""Calaveras, (CA)""",494.9,"457.2 - 512.7 (644)",6.9,25.3,17.7
06011,"""Colusa, (CA)""",495.1,"457.2 - 512.7 (644)",8.9,26.6,18.2
06013,"""Contra Costa, (CA)""",432.9,"177.2 - 457.1 (643)",8.3,23.9,17.4
06015,"""Del Norte, (CA)""",567,"512.8 - 571.4 (643)",7.6,24.2,18.4
06017,"""El Dorado, (CA)""",443.6,"177.2 - 457.1 (643)",6,17.8,16.3
06019,"""Fresno, (CA)""",556.9,"512.8 - 571.4 (643)",9.5,26.7,21.1
06021,"""Glenn, (CA)""",544.9,"512.8 - 571.4 (643)",7.1,26.7,20.5
06023,"""Humboldt, (CA)""",548.2,"512.8 - 571.4 (643)",7.3,27.4,15.9
06025,"""Imperial, (CA)""",478.7,"457.2 - 512.7 (644)",8.3,28,22.3
06027,"""Inyo, (CA)""",513.9,"512.8 - 571.4 (643)",7.2,23.5,19.2
06029,"""Kern, (CA)""",685.3,"639.7 - 989.4 (643)",9,31.4,23.7
06031,"""Kings, (CA)""",566.6,"512.8 - 571.4 (643)",7.9,25.9,20.1
06033,"""Lake, (CA)""",587.3,"571.5 - 639.6 (642)",8,26,18.2
06035,"""Lassen, (CA)""",529.1,"512.8 - 571.4 (643)",7.9,25.6,21.3
06037,"""Los Angeles, (CA)""",536.4,"512.8 - 571.4 (643)",8.8,21.4,18
06039,"""Madera, (CA)""",543.8,"512.8 - 571.4 (643)",7.5,26.2,19.4
06041,"""Marin, (CA)""",360.3,"177.2 - 457.1 (643)",5.3,17.4,11.5
06043,"""Mariposa, (CA)""",530.7,"512.8 - 571.4 (643)",6.8,24.3,17.8
06045,"""Mendocino, (CA)""",490.4,"457.2 - 512.7 (644)",6.7,24.7,17.1
06047,"""Merced, (CA)""",571,"512.8 - 571.4 (643)",8.9,26.2,19.4
06049,"""Modoc, (CA)""",513,"512.8 - 571.4 (643)",7.7,22.5,17.2
06051,"""Mono, (CA)""",464.6,"457.2 - 512.7 (644)",6.9,22.4,16.3
06053,"""Monterey, (CA)""",444.6,"177.2 - 457.1 (643)",6.9,24.5,17.2
06055,"""Napa, (CA)""",451,"177.2 - 457.1 (643)",7,22.8,16.3
06057,"""Nevada, (CA)""",434.3,"177.2 - 457.1 (643)",6.5,20.4,15.7
06059,"""Orange, (CA)""",469.7,"457.2 - 512.7 (644)",7.2,19,16.1
06061,"""Placer, (CA)""",470.9,"457.2 - 512.7 (644)",6.5,20.3,14.3
06063,"""Plumas, (CA)""",495,"457.2 - 512.7 (644)",7.1,22.7,14.5
06065,"""Riverside, (CA)""",561.9,"512.8 - 571.4 (643)",8.5,25.6,21
06067,"""Sacramento, (CA)""",536.8,"512.8 - 571.4 (643)",8.3,27.4,18.1
06069,"""San Benito, (CA)""",426.2,"177.2 - 457.1 (643)",7.2,22.4,19.7
06071,"""San Bernardino, (CA)""",651.2,"639.7 - 989.4 (643)",8.6,27.1,21.3
06073,"""San Diego, (CA)""",461.2,"457.2 - 512.7 (644)",7.1,20,15.5
06075,"""San Francisco, (CA)""",427.6,"177.2 - 457.1 (643)",8,18.2,15.2
06077,"""San Joaquin, (CA)""",620,"571.5 - 639.6 (642)",10.1,27.8,22
06079,"""San Luis Obispo, (CA)""",469.8,"457.2 - 512.7 (644)",6.6,22.6,14.3
06081,"""San Mateo, (CA)""",397,"177.2 - 457.1 (643)",7.9,18.3,15.2
06083,"""Santa Barbara, (CA)""",456,"177.2 - 457.1 (643)",7,20.5,16.1
06085,"""Santa Clara, (CA)""",388.8,"177.2 - 457.1 (643)",7.9,19.5,15.6
06087,"""Santa Cruz, (CA)""",424.1,"177.2 - 457.1 (643)",6.9,17.8,14.2
06089,"""Shasta, (CA)""",569.5,"512.8 - 571.4 (643)",6.8,23.6,18.4
06091,"""Sierra, (CA)""",542.2,"512.8 - 571.4 (643)",6.7,21.5,16.2
06093,"""Siskiyou, (CA)""",505.5,"457.2 - 512.7 (644)",7.2,23.4,17.4
06095,"""Solano, (CA)""",484.5,"457.2 - 512.7 (644)",9.1,29.2,18.8
06097,"""Sonoma, (CA)""",468.6,"457.2 - 512.7 (644)",6.9,19.9,15.1
06099,"""Stanislaus, (CA)""",626.1,"571.5 - 639.6 (642)",8.9,30,20.8
06101,"""Sutter, (CA)""",570.9,"512.8 - 571.4 (643)",7.7,29.6,20.3
06103,"""Tehama, (CA)""",530.5,"512.8 - 571.4 (643)",8.8,26.5,24.5
06105,"""Trinity, (CA)""",523.8,"512.8 - 571.4 (643)",7.4,23.7,17.9
06107,"""Tulare, (CA)""",615.5,"571.5 - 639.6 (642)",7.1,33.3,22.3
06109,"""Tuolumne, (CA)""",499.3,"457.2 - 512.7 (644)",7,21.6,15.6
06111,"""Ventura, (CA)""",452.6,"177.2 - 457.1 (643)",7.2,20.3,16.9
06113,"""Yolo, (CA)""",481.2,"457.2 - 512.7 (644)",7.2,23,16
06115,"""Yuba, (CA)""",626.6,"571.5 - 639.6 (642)",7.6,27.8,18.5
08001,"""Adams, (CO)""",445.6,"177.2 - 457.1 (643)",7.6,26.9,20.2
08003,"""Alamosa, (CO)""",474.3,"457.2 - 512.7 (644)",5.8,20.9,16.4
08005,"""Arapahoe, (CO)""",404.4,"177.2 - 457.1 (643)",6.6,21.6,16.6
08007,"""Archuleta, (CO)""",415.8,"177.2 - 457.1 (643)",4.4,17.7,13.6
08009,"""Baca, (CO)""",468.1,"457.2 - 512.7 (644)",5.3,21.2,16.5
08011,"""Bent, (CO)""",481.6,"457.2 - 512.7 (644)",6.1,24.8,22
08013,"""Boulder, (CO)""",374.5,"177.2 - 457.1 (643)",3.9,13.7,10
08014,"""Broomfield, (CO)""",403.1,"177.2 - 457.1 (643)",5.5,18.8,12.8
08015,"""Chaffee, (CO)""",410.7,"177.2 - 457.1 (643)",4.6,18.5,15.7
08017,"""Cheyenne, (CO)""",458.9,"457.2 - 512.7 (644)",5.5,24,24.1
08019,"""Clear Creek, (CO)""",368.8,"177.2 - 457.1 (643)",6.3,18.3,16.9
08021,"""Conejos, (CO)""",358.3,"177.2 - 457.1 (643)",4.9,23.4,20.1
08023,"""Costilla, (CO)""",414.3,"177.2 - 457.1 (643)",5.5,21.9,21.6
08025,"""Crowley, (CO)""",441.7,"177.2 - 457.1 (643)",5.9,22.4,19.3
08027,"""Custer, (CO)""",453,"177.2 - 457.1 (643)",4.5,22.1,17.4
08029,"""Delta, (CO)""",461.8,"457.2 - 512.7 (644)",4.8,23,18
08031,"""Denver, (CO)""",443.2,"177.2 - 457.1 (643)",6,16.8,12.8
08033,"""Dolores, (CO)""",405.8,"177.2 - 457.1 (643)",5.2,19.3,16.8
08035,"""Douglas, (CO)""",324.4,"177.2 - 457.1 (643)",5,17.3,10.4
08037,"""Eagle, (CO)""",289.2,"177.2 - 457.1 (643)",3.4,12.7,11
08039,"""Elbert, (CO)""",370.4,"177.2 - 457.1 (643)",4.4,20.8,17.1
08041,"""El Paso, (CO)""",434.1,"177.2 - 457.1 (643)",6.8,22.4,16
08043,"""Fremont, (CO)""",494.6,"457.2 - 512.7 (644)",7.3,23.5,18.5
08045,"""Garfield, (CO)""",428.4,"177.2 - 457.1 (643)",4.6,19.2,13.5
08047,"""Gilpin, (CO)""",466,"457.2 - 512.7 (644)",5.3,20.5,16.5
08049,"""Grand, (CO)""",358.1,"177.2 - 457.1 (643)",4.8,16.4,13.4
08051,"""Gunnison, (CO)""",242,"177.2 - 457.1 (643)",4.5,15.3,12.9
08053,"""Hinsdale, (CO)""",363.4,"177.2 - 457.1 (643)",4.8,19.6,14.8
08055,"""Huerfano, (CO)""",443.4,"177.2 - 457.1 (643)",5.6,22.1,18.9
08057,"""Jackson, (CO)""",409.8,"177.2 - 457.1 (643)",5.2,21.1,19
08059,"""Jefferson, (CO)""",424.2,"177.2 - 457.1 (643)",4.6,17.9,12.5
08061,"""Kiowa, (CO)""",474.5,"457.2 - 512.7 (644)",5.3,20.7,20.1
