cnty_fips,display_name,Value,theme_range,dm_prev_adj,ob_prev_adj,ltpia_prev_adj
01001,"""Autauga, (AL)""",617,568.9 - 1054.3 (643),11.4,36.3,30.3
01003,"""Baldwin, (AL)""",536.7,502.1 - 568.8 (643),9.3,29.4,23.5
01005,"""Barbour, (AL)""",721.8,568.9 - 1054.3 (643),16.5,44.5,29.9
01007,"""Bibb, (AL)""",650.7,568.9 - 1054.3 (643),13.5,38.5,36.7
01009,"""Blount, (AL)""",582.1,568.9 - 1054.3 (643),12.5,36.1,28
01011,"""Bullock, (AL)""",670.4,568.9 - 1054.3 (643),18,40.1,29.3
01013,"""Butler, (AL)""",663.7,568.9 - 1054.3 (643),15.1,36.2,32.8
01015,"""Calhoun, (AL)""",668.3,568.9 - 1054.3 (643),14.6,36.3,31.7
01017,"""Chambers, (AL)""",682.1,568.9 - 1054.3 (643),13.8,38.3,31.4
01019,"""Cherokee, (AL)""",594.1,568.9 - 1054.3 (643),10.3,36,34.2
01021,"""Chilton, (AL)""",636.8,568.9 - 1054.3 (643),12.7,36.2,29.1
01023,"""Choctaw, (AL)""",666.6,568.9 - 1054.3 (643),13.4,39.8,31.7
01025,"""Clarke, (AL)""",597.7,568.9 - 1054.3 (643),14.3,38.6,28.4
01027,"""Clay, (AL)""",718,568.9 - 1054.3 (643),11.9,38.7,30.1
01029,"""Cleburne, (AL)""",685.4,568.9 - 1054.3 (643),10.7,35.1,30.9
01031,"""Coffee, (AL)""",608.3,568.9 - 1054.3 (643),13.9,34.3,28.9
01033,"""Colbert, (AL)""",609.4,568.9 - 1054.3 (643),14.8,34.9,29.8
01035,"""Conecuh, (AL)""",625.3,568.9 - 1054.3 (643),14.9,38.7,29.7
01037,"""Coosa, (AL)""",593.8,568.9 - 1054.3 (643),12.8,40.4,28.2
01039,"""Covington, (AL)""",580.6,568.9 - 1054.3 (643),11.7,34.2,29.5
01041,"""Crenshaw, (AL)""",575.5,568.9 - 1054.3 (643),12.8,40.1,28.7
01043,"""Cullman, (AL)""",692.7,568.9 - 1054.3 (643),14.2,34.9,28.3
01045,"""Dale, (AL)""",620.6,568.9 - 1054.3 (643),13.1,36.7,28.2
01047,"""Dallas, (AL)""",782.6,568.9 - 1054.3 (643),15.4,42.6,28.9
01049,"""DeKalb, (AL)""",692.3,568.9 - 1054.3 (643),10.8,30.6,30.8
01051,"""Elmore, (AL)""",596.2,568.9 - 1054.3 (643),12.3,36.5,29
01053,"""Escambia, (AL)""",608.8,568.9 - 1054.3 (643),16.8,38.8,31.1
01055,"""Etowah, (AL)""",719.3,568.9 - 1054.3 (643),13.5,37.2,33.1
01057,"""Fayette, (AL)""",660.3,568.9 - 1054.3 (643),11.9,35.9,35
01059,"""Franklin, (AL)""",775.4,568.9 - 1054.3 (643),12.3,33.3,36.9
01061,"""Geneva, (AL)""",616.5,568.9 - 1054.3 (643),13.3,37.2,28
01063,"""Greene, (AL)""",707.2,568.9 - 1054.3 (643),17.7,42.4,30.3
01065,"""Hale, (AL)""",696.6,568.9 - 1054.3 (643),14.5,41.3,32.2
01067,"""Henry, (AL)""",624.5,568.9 - 1054.3 (643),15.6,38.3,29.4
01069,"""Houston, (AL)""",606.9,568.9 - 1054.3 (643),12.1,33.3,28.5
01071,"""Jackson, (AL)""",682.3,568.9 - 1054.3 (643),12,37.5,30.2
01073,"""Jefferson, (AL)""",528.9,502.1 - 568.8 (643),11.9,33,27.9
01075,"""Lamar, (AL)""",623.8,568.9 - 1054.3 (643),11.9,34.3,32.3
01077,"""Lauderdale, (AL)""",514.4,502.1 - 568.8 (643),12.3,35.1,29.5
01079,"""Lawrence, (AL)""",655,568.9 - 1054.3 (643),12,33.5,35.5
01081,"""Lee, (AL)""",473.6,452.4 - 502 (644),10.8,29.9,25
01083,"""Limestone, (AL)""",565.5,502.1 - 568.8 (643),11.3,33.4,29.6
01085,"""Lowndes, (AL)""",715,568.9 - 1054.3 (643),17.6,46.5,29.6
01087,"""Macon, (AL)""",669.7,568.9 - 1054.3 (643),17.7,48,31.7
01089,"""Madison, (AL)""",457.2,452.4 - 502 (644),11.3,32.6,22.3
01091,"""Marengo, (AL)""",744.3,568.9 - 1054.3 (643),16,39.7,32.4
01093,"""Marion, (AL)""",666.4,568.9 - 1054.3 (643),14.7,35.5,31.8
01095,"""Marshall, (AL)""",651.1,568.9 - 1054.3 (643),11.4,33.9,29.6
01097,"""Mobile, (AL)""",596.1,568.9 - 1054.3 (643),13.4,35.9,29.2
01099,"""Monroe, (AL)""",622.1,568.9 - 1054.3 (643),13.7,39.5,31
01101,"""Montgomery, (AL)""",527.1,502.1 - 568.8 (643),12.5,36.6,26
01103,"""Morgan, (AL)""",660.4,568.9 - 1054.3 (643),11.4,31.5,28.1
01105,"""Perry, (AL)""",735.3,568.9 - 1054.3 (643),18.2,44.7,33.8
01107,"""Pickens, (AL)""",660.3,568.9 - 1054.3 (643),13.8,35.4,28.3
01109,"""Pike, (AL)""",587.3,568.9 - 1054.3 (643),13.2,42,27.3
01111,"""Randolph, (AL)""",639.9,568.9 - 1054.3 (643),12.8,34.2,28.5
01113,"""Russell, (AL)""",576.9,568.9 - 1054.3 (643),12.2,40.6,30.5
01115,"""St. Clair, (AL)""",576.6,568.9 - 1054.3 (643),12.4,36.4,29.1
01117,"""Shelby, (AL)""",455.5,452.4 - 502 (644),8.8,29,23.8
01119,"""Sumter, (AL)""",673.4,568.9 - 1054.3 (643),18.4,40.3,30.3
01121,"""Talladega, (AL)""",647.8,568.9 - 1054.3 (643),14.6,40.8,32.5
01123,"""Tallapoosa, (AL)""",607.4,568.9 - 1054.3 (643),12.4,37,31.9
